sampleid	measured_mz	measured_rt	nearest_distance	scan	#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename	rank	expert_annotation	shorthand
X375.2618mz234.9397	375.2618	234.9397	4.6137005245247495	1008162	1008162	M+2H		1	Azithromycin	Commercial	Garg_Neha	748.5089999999999			qTof	Positive	LC-ESI	375.264	lib-00030.mgf	Gold	1	0.7047720000000001	8.05097	0.00302124	GNPS-NIH-CLINICALCOLLECTION2	Dorrestein	375.264		230.326	4	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	0	375.261	specs_ms.pklbin	CCMSLIB00000077128	774.184	UPDATE-SINGLE-ANNOTATED-GOLD	For the treatment of patients with mild to moderate infections caused by susceptible strains of the designated microorganisms in the specific conditions: H. influenzae, M. catarrhalis, S. pneumoniae, C. pneumoniae, M. pneumoniae, S. pyogenes, S. aureus, S. agal||23S rRNA||Afatinib, Amiodarone, Atorvastatin, Bosutinib, Brentuximab vedotin, Citalopram, Colchicine, Cyclosporine, Dabigatran etexilate, Dicoumarol||Cytochrome P450 2A6	specs_ms.pklbin			Azithromycin
X675.1019mz240.8939	675.1019	240.8939	74.60875416209556	2164050	2164050	M+H	83905015	1	Spectral Match to Azithromycin from NIST14	Isolated	Data deposited by aaksenov	0.0			HCD	Positive	ESI	749.5160000000002	lib-00030.mgf	Bronze	3	0.8979729999999999	0.0	0.0	GNPS-NIST14-MATCHES	Data from P. Dorrestein R. Knight	749.5160000000002		235.508	16		0	749.5160000000002	specs_ms.pklbin	CCMSLIB00003139807	51426.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X675.3044mz240.9129	675.3044	240.9129	74.40816163950036	2164050	2164050	M+H	83905015	1	Spectral Match to Azithromycin from NIST14	Isolated	Data deposited by aaksenov	0.0			HCD	Positive	ESI	749.5160000000002	lib-00030.mgf	Bronze	3	0.8979729999999999	0.0	0.0	GNPS-NIST14-MATCHES	Data from P. Dorrestein R. Knight	749.5160000000002		235.508	16		0	749.5160000000002	specs_ms.pklbin	CCMSLIB00003139807	51426.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X207.0489mz284.2207	207.0489	284.2207	11.887474723422134	96948	96948	M+H		1	MLS000737174-01!	NIH Natural Product Library	VVP/LMS	196.064			qTof	Positive	LC-ESI	197.071	lib-00021.mgf	Gold	1	0.946674	0.0	0.0	GNPS-NIH-NATURALPRODUCTSLIBRARY	Dorrestein	197.071		277.759	6	Oc1cccc2nc3ccccc3nc12	0	197.071	specs_ms.pklbin	CCMSLIB00000080019	46623.6	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin			Other
X232.1329mz284.2357	232.1329	284.2357	7.075894607751045	202108	202108	M+H	 	1	Phenazine-1-carboxylic Acid	Lysate	Quinn	0.0	 	 	qTof	Positive	LC-ESI	225.068	lib-00030.mgf	Bronze	3	0.884508	13.2881	0.00299072	GNPS-LIBRARY	Dorrestein	225.068	 	284.63	7	 	0	225.065	specs_ms.pklbin	CCMSLIB00000531526	34908.9	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Phenazine-1-carboxylic Acid
X247.0469mz291.7060	247.0469	291.70599999999996	14.692685704458532	258779	258779	M+H-CH5N	72695	1	Nortriptyline	Isolated	NIST	0.0	InChI=1S/C19H21N/c1-20-14-6-11-19-17-9-4-2-7-15(17)12-13-16-8-3-5-10-18(16)19/h2-5,7-11,20H,6,12-14H2,1H3		HCD	Positive	ESI	233.133	lib-00025.mgf	Bronze	3	0.727171	2.1598900000000003	0.00050354	NIST17	NIST	233.133		296.426	7	CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	0	233.132	specs_ms.pklbin	CCMSLIB00003362409	1466.06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X348.2737mz297.8191	348.2737	297.8191	23.297178612441517	772509	772509	M+H	 	1	Pyochelin	Lysate	Quinn	0.0	 	 	qTof	Positive	LC-ESI	325.066	lib-00010.mgf	Bronze	3	0.8765719999999999	3.0042	0.000976562	GNPS-LIBRARY	Dorrestein	325.066	 	299.8590000000001	7	 	0	325.067	specs_ms.pklbin	CCMSLIB00000539139	63285.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X353.2293mz297.9683	353.2293	297.9683	28.226693277463497	772509	772509	M+H	 	1	Pyochelin	Lysate	Quinn	0.0	 	 	qTof	Positive	LC-ESI	325.066	lib-00010.mgf	Bronze	3	0.8765719999999999	3.0042	0.000976562	GNPS-LIBRARY	Dorrestein	325.066	 	299.8590000000001	7	 	0	325.067	specs_ms.pklbin	CCMSLIB00000539139	63285.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X313.2413mz328.7243	313.2413	328.7243	14.90333615604235	782103	782103	M+2H]	531146	1	Coproporphyrin I	Isolated	NIST	0.0			HCD	Positive	ESI	328.142	lib-00025.mgf	Bronze	3	0.908898	2.51103	0.000823975	NIST17	NIST	328.142		328.444	6		0	328.141	specs_ms.pklbin	CCMSLIB00003335528	23575.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X288.1911mz329.8787	288.1911	329.8787	18.122547108505493	479875	479875	M+H	10002934	1	19-Norepiandrosterone	Isolated	NIST	0.0	InChI=1S/C18H28O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h11-16,19H,2-10H2,1H3/t11-,12-,13-,14+,15+,16-,18-/m0/s1		HCD	Positive	ESI	277.216	lib-00025.mgf	Bronze	3	0.70757	0.660515	0.000183105	NIST17	NIST	277.216		344.3	4	CC12CCC3C4CCC(CC4CCC3C1CCC2=O)O	0	277.216	specs_ms.pklbin	CCMSLIB00003406735	948.972	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X260.1648mz331.9730	260.1648	331.973	5.369000059601387	384755	384755	M+H	341888	1	2-Heptyl-4-hydroxyquinoline N-oxide	Isolated	NIST	0.0			HCD	Positive	ESI	260.164	lib-00025.mgf	Bronze	3	0.995424	9.61869	0.00250244	NIST17	NIST	260.164		326.6040000000001	5		0	260.16200000000003	specs_ms.pklbin	CCMSLIB00003513569	1477.16	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X404.2064mz339.2576	404.2064	339.2576	14.284837938177708	1170937	1170937	M+Na		1	NCGC00385669-01!(E)-3-(acetyloxymethyl)-5-(2-formyl-4-hydroxy-5,5,8a-trimethyl-1,4,4a,6,7,8-hexahydronaphthalen-1-yl)pent-2-enoic acid	isolated	lfnothias	392.22	InChI=1S/C22H32O6/c1-14(24)28-13-15(10-19(26)27)6-7-17-16(12-23)11-18(25)20-21(2,3)8-5-9-22(17,20)4/h10-12,17-18,20,25H,5-9,13H2,1-4H3,(H,26,27)/b15-10+		Maxis II HD Q-TOF Bruker	positive	LC-ESI	415.209	lib-00030.mgf	Gold	1	0.812267	7.20293	0.00299072	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	Jadhav/Dorrestein	415.209		348.36800000000005	4	CC(=O)OC\C(CCC1C(C=O)=CC(O)C2C(C)(C)CCCC12C)=C\C(O)=O	0	415.212	specs_ms.pklbin	CCMSLIB00000845032	2934.95	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin			Other
X409.1621mz339.3152	409.1621	339.3152	10.886605873733137	1170937	1170937	M+Na		1	NCGC00385669-01!(E)-3-(acetyloxymethyl)-5-(2-formyl-4-hydroxy-5,5,8a-trimethyl-1,4,4a,6,7,8-hexahydronaphthalen-1-yl)pent-2-enoic acid	isolated	lfnothias	392.22	InChI=1S/C22H32O6/c1-14(24)28-13-15(10-19(26)27)6-7-17-16(12-23)11-18(25)20-21(2,3)8-5-9-22(17,20)4/h10-12,17-18,20,25H,5-9,13H2,1-4H3,(H,26,27)/b15-10+		Maxis II HD Q-TOF Bruker	positive	LC-ESI	415.209	lib-00030.mgf	Gold	1	0.812267	7.20293	0.00299072	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	Jadhav/Dorrestein	415.209		348.36800000000005	4	CC(=O)OC\C(CCC1C(C=O)=CC(O)C2C(C)(C)CCCC12C)=C\C(O)=O	0	415.212	specs_ms.pklbin	CCMSLIB00000845032	2934.95	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin			Other
X387.1799mz339.3250	387.1799	339.325	29.388638985328985	1024802	1024802	M+H	118974-02-0	1	NCGC00380742-01_C22H25N3O3_9-Methoxy-12-(2-methyl-1-propen-1-yl)-1,2,3,5a,6,11,12,14a-octahydro-5H,14H-pyrrolo[1'',2'':4',5']pyrazino[1',2':1,6]pyrido[3,4-b]indole-5,14-dione	isolated	lfnothias	379.19	InChI=1S/C22H25N3O3/c1-12(2)9-18-20-15(14-7-6-13(28-3)10-16(14)23-20)11-19-21(26)24-8-4-5-17(24)22(27)25(18)19/h6-7,9-10,17-19,23H,4-5,8,11H2,1-3H3		Maxis II HD Q-TOF Bruker	positive	LC-ESI	380.197	lib-00000.mgf	Gold	1	0.920486	0.0	0.0	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	Jadhav/Dorrestein	380.197		310.778	12	COC1=CC2=C(C=C1)C3=C([NH]2)C(C=C(C)C)N4C(C3)C(=O)N5CCCC5C4=O	0	380.197	specs_ms.pklbin	CCMSLIB00000852152	26761.9	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin			Other
X425.1362mz339.3484	425.1362	339.3484	13.412773165904206	1170937	1170937	M+Na		1	NCGC00385669-01!(E)-3-(acetyloxymethyl)-5-(2-formyl-4-hydroxy-5,5,8a-trimethyl-1,4,4a,6,7,8-hexahydronaphthalen-1-yl)pent-2-enoic acid	isolated	lfnothias	392.22	InChI=1S/C22H32O6/c1-14(24)28-13-15(10-19(26)27)6-7-17-16(12-23)11-18(25)20-21(2,3)8-5-9-22(17,20)4/h10-12,17-18,20,25H,5-9,13H2,1-4H3,(H,26,27)/b15-10+		Maxis II HD Q-TOF Bruker	positive	LC-ESI	415.209	lib-00030.mgf	Gold	1	0.812267	7.20293	0.00299072	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	Jadhav/Dorrestein	415.209		348.36800000000005	4	CC(=O)OC\C(CCC1C(C=O)=CC(O)C2C(C)(C)CCCC12C)=C\C(O)=O	0	415.212	specs_ms.pklbin	CCMSLIB00000845032	2934.95	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin			Other
X258.1804mz348.1582	258.1804	348.1582	2.572908121173352	389711	389711	M+H	 	1	PQS/HQNO	Crude	AMelnik	0.0	 	 	qTof	Positive	LC-ESI	260.168	lib-00010.mgf	Bronze	3	0.7620279999999999	0.0	0.0	GNPS-LIBRARY	P.Dorrestein	260.168	 	349.792	4	 	0	260.168	specs_ms.pklbin	CCMSLIB00000223946	4699.12	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			PQS/HQNO
X318.2994mz375.4110	318.2994	375.411	21.19763181489857	643209	643209	M+H	123784	1	Spectral Match to D-erythro-C18-Sphingosine from NIST14	Isolated	Data deposited by lamccall	0.0			HCD	Positive	ESI	300.291	lib-00024.mgf	Bronze	3	0.810599	6.60573	0.00198364	GNPS-NIST14-MATCHES	Data from James McKerrow	300.291		386.593	8		0	300.289	specs_ms.pklbin	CCMSLIB00003136978	1368.34	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X452.2784mz378.9378	452.2784	378.9378	19.03772381877624	1346520	1346520	M+H	20559164	1	Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14	Isolated	Data deposited by alchemistmatt	0.0			HCD	Positive	ESI	468.306	lib-00030.mgf	Bronze	3	0.912504	2.15047	0.00100708	GNPS-NIST14-MATCHES	Data from Yoshihiro Kawaoka, Katrina Waters, Richard Smith and Thomas Metz	468.306		368.664	4		0	468.307	specs_ms.pklbin	CCMSLIB00003137409	1130.42	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X286.2069mz380.0091	286.2069	380.0091	13.455123039942775	568923	568923	M+H	 	1	C9:db-PQS, C9:DB-NQNO	Lysate	AMelnik	0.0	 	 	qTof	Positive	LC-ESI	286.182	lib-00030.mgf	Bronze	3	0.843888	10.5571	0.00302124	GNPS-LIBRARY	P.Dorrestein	286.182	 	366.554	5	 	0	286.1790000000001	specs_ms.pklbin	CCMSLIB00000223949	1455.71	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X272.2311mz381.5715	272.2311	381.5715	6.168564003072348	455430	455430	M+H	 	1	NHQ	Crude	AMelnik	0.0	 	 	qTof	Positive	LC-ESI	272.203	lib-00030.mgf	Bronze	3	0.983767	0.0	0.0	GNPS-LIBRARY	P.Dorrestein	272.203	 	375.403	6	 	0	272.203	specs_ms.pklbin	CCMSLIB00000223948	135659.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			NHQ
X478.2926mz388.8625	478.2926	388.8625	1.1635134765012385	1378876	1378876	M+NH4		1	NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid	isolated	lfnothias	460.253	InChI=1S/C20H36N4O8/c1-16(25)23(31)14-6-2-4-12-21-17(26)8-10-19(28)24(32)15-7-3-5-13-22-18(27)9-11-20(29)30/h31-32H,2-15H2,1H3,(H,21,26)(H,22,27)(H,29,30)		Maxis II HD Q-TOF Bruker	positive	LC-ESI	478.287	lib-00030.mgf	Gold	1	0.8807889999999999	12.5698	0.00601196	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	Jadhav/Dorrestein	478.287		390.026	7	CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(O)=O	0	478.293	specs_ms.pklbin	CCMSLIB00000845585	2659.99	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin			Other
X322.2666mz388.8755	322.2666	388.8755	21.97722802379771	643132	643132	M+H		1	MLS001332469-01!D-Sphingosine123-78-4	NIH Pharmacologically Active Library	VP/LMS	299.282			qTof	Positive	LC-ESI	300.291	lib-00030.mgf	Gold	1	0.755051	6.60573	0.00198364	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	Dorrestein	300.291		388.608	7	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO	0	300.289	specs_ms.pklbin	CCMSLIB00000084972	1199.11	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin			Other
X300.2858mz389.5655	300.2858	389.5655	0.36852393409387896	643966	643966	M+H	123784	1	D-erythro-C18-Sphingosine	Isolated	NIST	0.0			HCD	Positive	ESI	300.29	lib-00030.mgf	Bronze	3	0.858368	0.0	0.0	NIST14	NIST	300.29		389.197	4		0	300.29	specs_ms.pklbin	CCMSLIB00000324155	963.441	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			D-erythro-C18-Sphingosine
X520.3394mz390.9785	520.3394	390.9785	13.421979474354785	1498831	1498831	M+Na		1	Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14	Isolated	Data deposited by pmallard	0.0			Q-TOF	Positive	ESI	518.322	lib-00024.mgf	Bronze	3	0.84908	0.0	0.0	GNPS-NIST14-MATCHES	Data from Wolfender/Litaudon	518.322		404.2480000000001	13		0	518.322	specs_ms.pklbin	CCMSLIB00003134510	156496.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X476.2743mz401.5756	476.2743	401.5756	0.4024020998951173	1374466	1374466	M+Na	53862354	1	Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14	Isolated	Data deposited by alchemistmatt	328.204	1S/C21H28O3/c1-3-23-20(22)14(2)24-19-6-4-18(5-7-19)21-11-15-8-16(12-21)10-17(9-15)13-21/h4-7,14-17H,3,8-13H2,1-2H3		qTof	Positive	LC-ESI	476.273	lib-00030.mgf	Bronze	3	0.8760129999999999	2.05043	0.000976562	GNPS-NIST14-MATCHES	Data from Katrina Waters;Yoshihiro Kawaoka;Michael Diamond;Richard Smith;Thomas Metz	476.273		401.978	13	CCOC(=O)C(C)OC1=CC=C(C=C1)C23CC4CC(C2)CC(C4)C3	0	476.274	specs_ms.pklbin	CCMSLIB00003139369	72290.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X518.3215mz404.5410	518.3215	404.541	0.2930004266207993	1498831	1498831	M+Na		1	Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14	Isolated	Data deposited by pmallard	0.0			Q-TOF	Positive	ESI	518.322	lib-00024.mgf	Bronze	3	0.84908	0.0	0.0	GNPS-NIST14-MATCHES	Data from Wolfender/Litaudon	518.322		404.2480000000001	13		0	518.322	specs_ms.pklbin	CCMSLIB00003134510	156496.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
X496.3401mz404.5668	496.3401	404.5668	0.4558013273346291	1429404	1429404	M+H	17364168	1	Spectral Match to Lyso-PC(16:0) from NIST14	Isolated	Data deposited by fevargas	0.0			Q-TOF	Positive	ESI	496.339	lib-00030.mgf	Bronze	3	0.907417	4.0580300000000005	0.00201416	GNPS-NIST14-MATCHES	Data from Julia Gauglitz	496.339		404.111	11		0	496.341	specs_ms.pklbin	CCMSLIB00003140032	253755.0	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin			Other
